strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/Chile/Coquimbo-PUC_MVL_0194/2020	EPI_ISL_801554	MW365134.1	Laboratory of Molecular Virology, Pontificia Universidad Católica de Chile	MSHS Pathogen Surveillance Program	Leonardo I. Almonacid et al
hCoV-19/Colombia/DC-INS-3334/2020	EPI_ISL_653754		Instituto Nacional de Salud, Bogotá, Colombia	Instituto Nacional de Salud, Bogotá, Colombia	Katherine Laiton-Donato et al
hCoV-19/Colombia/GVI-150933/2020	EPI_ISL_941988		Instituto Nacional de Salud, Bogotá, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Instituto Nacional de Salud, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA	Luz Helena Patiño et al
hCoV-19/NewZealand/20CV0270/2020	EPI_ISL_579064		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/NewZealand/20CHL869065O/2020	EPI_ISL_483060	MT706050.1		Microbiology, Canterbury Health Laboratories	Dilcher et al
hCoV-19/Turkey/HSGM-8970/2020	EPI_ISL_429862		Ministry of Health Turkey	Ministry of Health Turkey	Fatma Bayrakdar et al B (https://dx.doi.org/10.1101/2020.05.15.095794)
hCoV-19/Panama/GMI-PA1046/2020	EPI_ISL_1502865		Hospital Regional Dr. Luis "Chicho" Fábrega	Gorgas Memorial Laboratory of Health Studies	Gonzalez Claudia et al
hCoV-19/Peru/CAL-INS-079/2020	EPI_ISL_536479		Instituto Nacional de Salud	Laboratorio de Infecciones Respiratorias Agudas	Eduardo Juscamayta Lopez et al
hCoV-19/Poland/Pom12/2020	EPI_ISL_451653		Hematology Laboratory, Section of Molecular Diagnostics, University Clinical Centre, Medical University of Gdansk	Laboratory of Recombinant Vaccines	Lukasz Rabalski et al
hCoV-19/NewZealand/20CV0318/2020	EPI_ISL_579089		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/Ecuador/USFQ-213/2020	EPI_ISL_539786		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Andrea Macias et al
hCoV-19/Mexico/JAL-InDRE_313/2020	EPI_ISL_1060739		Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)_RNLSP	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/COL-IBT-IMSS-501/2020	EPI_ISL_1301518		Laboratorio Central de Epidemiología IMSS	Instituto de Biotecnología de la UNAM	Authors from IBT et al
hCoV-19/Mexico/OAX-InDRE-IBT-18/2020	EPI_ISL_1301529		Instituto de Diagnostico y Referencia Epidemiologicos InDRE_RNLSP	Instituto de Biotecnología de la UNAM	Authors from IBT et al
hCoV-19/Romania/283584/2020	EPI_ISL_455469		Laboratory for Respiratory Viruses, Cantacuzino National Military-Medical Institute for Research and Development	Cantacuzino Institute	M.Lazar et al (https://dx.doi.org/10.1101/2020.06.28.175802)
hCoV-19/Hungary/MH-13211/2020	EPI_ISL_526225		Hungarian Defence Forces Military Medical Centre	National Laboratory of Virology, Szentágothai Research Centre	Endre Gábor Tóth et al
hCoV-19/Jordan/MA-ALSR-2583/2020	EPI_ISL_635780		Biolab Diagnostic Laboratories	Andersen lab at Scripps Research	Issa Abu-Dayyeh et al
hCoV-19/UnitedArabEmirates/3694/2020	EPI_ISL_859811		BTC, Khalifa University	BTC, Khalifa University	Al Safar et al
hCoV-19/Mexico/BCS-InDRE_471/2021	EPI_ISL_1168541		Instituto de Diagnostico y Referencia Epidemiologicos INDRE_RNLSP	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/USA/OK-ADDL-01/2020	EPI_ISL_535364	MT998442.1	Oklahoma Animal Disease Diagnostic Laboratory	Oklahoma Animal Disease Diagnostic Laboratory	Sai Narayanan et al
hCoV-19/USA/WA-UW-32915/2020	EPI_ISL_737098		UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
hCoV-19/Mexico/CMX-INMEGEN-10/2020	EPI_ISL_522940		Instituto Nacional de Medicina Genómica	Instituto Nacional de Medicina Genómica	Hidalgo-Miranda A et al
hCoV-19/Mexico/CMX-INER-0216/2020	EPI_ISL_837809		Instituto Nacional de Enfermedades Respiratorias (INER)	Instituto Nacional de Enfermedades Respiratorias (INER)	Celia Boukadida et al
hCoV-19/USA/CT-JAX-JAX000220/2021	EPI_ISL_1315136		The Jackson Laboratory	The Jackson Laboratory	Bergeron D et al
hCoV-19/Denmark/DCGC-1977/2020	EPI_ISL_618312		Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Denmark	Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortia et al
hCoV-19/Sweden/20-53129/2020	EPI_ISL_648172		The Public Health Agency of Sweden	The Public Health Agency of Sweden	Anna-Malin Linde et al
hCoV-19/Canada/BC-BCCDC-3410/2020	EPI_ISL_968366		BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
hCoV-19/Argentina/INEI101704/2021	EPI_ISL_2135141		Servicio Virosis Respiratorias-Departamento Virología-INEI	Instituto Nacional Enfermedades Infecciosas C.G.Malbran	Baumeister E. et al A
hCoV-19/Mexico/CHP-InDRE-IBT-84/2020	EPI_ISL_1301570		Instituto de Diagnostico y Referencia Epidemiologicos InDRE_RNLSP	Instituto de Biotecnología de la UNAM	Authors from IBT et al
hCoV-19/USA/AL-HGSC-JFQG/2020	EPI_ISL_883528	MW925387.1	Eurofins Diatherix	Hudsonalpha Genome Sequencing Center	Jane Grimwood et al
hCoV-19/USA/WA-UW-17637/2020	EPI_ISL_776687		UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
hCoV-19/Aruba/AW-RIVM-10390/2020	EPI_ISL_636516		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Curacao/CW-RIVM-21708/2020	EPI_ISL_1014574		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Curacao/CW-RIVM-21703/2020	EPI_ISL_1014579		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Aruba/AW-RIVM-11610/2021	EPI_ISL_1014612		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Curacao/CW-RIVM-10366/2020	EPI_ISL_636521		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Austria/CeMM4985/2020	EPI_ISL_1495316		Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Lukas Endler et al
hCoV-19/CzechRepublic/IAB20_016_021/2020	EPI_ISL_889352		The University Hospital Brno	Institute of Applied Biotechnologies a.s.	Petr Klempt et al
hCoV-19/Estonia/15620642/2021	EPI_ISL_1470005		Synlab Eesti OÜ	1. Laboratory of Communicable Diseases (Estonia); 2. Eurofins Genomics Europe Sequencing GmbH	Liidia Dotsenko et al.
hCoV-19/CaboVerde/Praia_30215/2020	EPI_ISL_1711641		Virology Laboratory of Praia	Institut Pasteur de Dakar	Sanders Kevin et al
hCoV-19/Romania/ROSV_28461/2020	EPI_ISL_896379		Suceava County Emergency Hospital	"Stefan cel Mare" University Metagenomics Lab	Lobiuc Andrei et al
hCoV-19/England/CAMB-A97AE8/2020	EPI_ISL_740997		Department of Pathology, University of Cambridge	COVID-19 Genomics UK (COG-UK) Consortium	Aminu S. Jahun et al
hCoV-19/Tunisia/19695/2020	EPI_ISL_733500		1-Laboratory of Microbiology, National Reference Lab, Charles Nicolle Hospital; 2-University of Tunis ElManar, Faculty of Medicine of Tunis, LR99ES09, Tunis, Tunisia	1-Clinical and Experimental Pharmacology Lab, LR16SP02, National Center of Pharmacovigilance, University of Tunis El Manar, Tunis, Tunisia. 2-Neurodegenerative diseases and psychiatric troubles, LR18SP03, Razi Hospital, University of Tunis El Manar, Tunis, Tunisia. 3- Ministry of Health, National Observatory of New and Emerging Diseases, 1006, Tunis, Tunisia	Ilhem Boutiba-Ben Boubaker et al
hCoV-19/France/un-21012150303/2021	EPI_ISL_912944		Hôpital Henri Mondor	Department of Virology, Henri Mondor University Hospital, Assistance Publique Hôpitaux de Paris, Université Paris-Est Créteil, INSERM U955	Christophe Rodriguez et al
hCoV-19/Switzerland/VD-ETHZ-270123/2020	EPI_ISL_541491		Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
hCoV-19/NewZealand/20CV0408/2020	EPI_ISL_582019		PathLab Bay of Plenty	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/Switzerland/ZH-ETHZ-410108/2020	EPI_ISL_737565	OU008917.1	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Chaoran Chen et al
hCoV-19/NewZealand/20CV0665/2020	EPI_ISL_732967		LabPLUS	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/Iceland/4749/2020	EPI_ISL_828440	OU166204.1	deCODE genetics	deCODE genetics	Daniel F Gudbjartsson et al B
hCoV-19/Spain/VC-IBV-98016224/2021	EPI_ISL_1060269		Laboratorio de Microbiología, Hospital Marina Baixa, Villajoyosa	SeqCOVID-SPAIN consortium/IBV(CSIC)	Mónica Parra Grande et al
hCoV-19/NewZealand/20CV0558/2020	EPI_ISL_649124		Waikato Hospital	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/Germany/SH-ChVir20796/2020	EPI_ISL_729704		A. Krumbholz, Labor Dr. Krause und Kollegen MVZ GmbH, Kiel	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al
hCoV-19/Sweden/21-50325/2020	EPI_ISL_934358		Klinisk mikrobiologi	The Public Health Agency of Sweden	Anna-Malin Linde et al
hCoV-19/Australia/NT67/2020	EPI_ISL_779406		Royal Darwin Hospital Pathology	MDU-PHL	Meumann et al
hCoV-19/NorthMacedonia/28330/2020	EPI_ISL_943995		General Hospital - Veles	Research Center for Genetic Engineering and Biotechnology "Georgi D. Efremov” , Macedonian Academy of Sciences and Arts	Aleksandar J. Dimovski et al
hCoV-19/Greece/104625/2021	EPI_ISL_1420720		Biomedical Research Foundation of the Academy of Athens (BRFAA)	Greek Genome Center, Biomedical Research Foundation of the Academy of Athens (BRFAA)	Emmanouil Athanasiadis et al
hCoV-19/Spain/MD-ISCIII-2014666/2020	EPI_ISL_871987		Hospital Clínico San Carlos	Instituto de Salud Carlos III	Iglesias-Caballero et al
hCoV-19/Spain/MD-HGUGM-4852480/2020	EPI_ISL_3190057		Hospital General Universitario Gregorio Marañón	Hospital General Universitario Gregorio Marañón	Sergio Buenestado Serrano et al
hCoV-19/Cameroon/CV424/2020	EPI_ISL_845554		National Public Health Laboratory, Cameroon	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University	Oluniyi P.E. et al A
hCoV-19/Monaco/HCL021015273401/2021	EPI_ISL_1336649		HOPITAL PRINCESSE GRACE	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
hCoV-19/Belgium/rega-3397/2021	EPI_ISL_1093265		KU Leuven, Rega Institute, Clinical and Epidemiological Virology	KU Leuven, Rega Institute, Clinical and Epidemiological Virology	Tony Wawina-Bokalanga et al
hCoV-19/Ireland/CN-NVRL-20IRL82677/2020	EPI_ISL_639888		National Virus Reference Laboratory	National Virus Reference Laboratory	Michael Carr et al
hCoV-19/Denmark/DCGC-3426/2020	EPI_ISL_616188		Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Denmark	Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortia et al
hCoV-19/Cyprus/Cy167189/2021	EPI_ISL_1164747		Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Jan Richter et al
hCoV-19/Canada/NS-NML-5140/2021	EPI_ISL_1055463		QEII Health Sciences Centre	National Microbiology Laboratory (NML)	Anna Majer et al
hCoV-19/Sweden/6972536723/2020	EPI_ISL_1618253		Swedish national genomic surveillance program of SARS-CoV-2	The Public Health Agency of Sweden	Swedish national genomic surveillance program of SARS-CoV-2 et al
hCoV-19/England/NORT-28E81F/2020	EPI_ISL_921737		Northumbria University / South Tees Hospitals NHS Foundation Trust / North Cumbria Integrated Care NHS Foundation Trust / North Tees and Hartlepool NHS Foundation Trust / Newcastle Hospitals NHS Foundation Trust	COVID-19 Genomics UK (COG-UK) Consortium	Darren L Smith et al
hCoV-19/Lithuania/ID2871/2020	EPI_ISL_933992		Vilnius university hospital Santaros Klinikos, Center of Laboratory Medicine	Vilnius university hospital Santaros Klinikos, Center of Laboratory Medicine	Ingrida Olendraite et al
hCoV-19/Lithuania/S21C67/2021	EPI_ISL_1324620		Anteja laboratorija (UAB Diagnostikos laboratorija)	Vilnius University Hospital Santaros Klinikos, Center of Laboratory Medicine	Daniel Naumovas et al
hCoV-19/Bahamas/33820/2020	EPI_ISL_1415416		Reference Laboratory of the Ministry of Health	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al
hCoV-19/USA/WI-UW-1417/2020	EPI_ISL_536787	MW035580.1	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Gage Moreno et al
hCoV-19/USA/MI-MDHHS-SC21979/2020	EPI_ISL_566029		Michigan Department of Health and Human Services, Bureau of Laboratories	Michigan Department of Health and Human Services, Bureau of Laboratories	Blankenship HM et al
hCoV-19/USA/IL-USAFSAM-S305/2020	EPI_ISL_812621		United States Air Force School of Aerospace Medicine	United States Air Force School of Aerospace Medicine	Anthony Fries et al
hCoV-19/CzechRepublic/ChVir1630/2020	EPI_ISL_416742		NRL for Influenza, Centrum Epidemiology and Microbiology of National Institute of Public Health, Czech Republic	Charite Universitaetsmedizin Berlin, Institute of Virology	Victor M Corman et al
hCoV-19/Brazil/SP-06/2020	EPI_ISL_414015		Hospital São Joaquim Beneficencia Portuguesa	Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory	Claudio Tavares Sacchi et al B (https://dx.doi.org/10.1590/s1678-9946202062030)
hCoV-19/NewZealand/20VR1780/2020	EPI_ISL_456249	MZ331980.1	Southern Community Labs Dunedin	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
hCoV-19/France/PAC-IHU-10670_Illu1/2020	EPI_ISL_2596673		MEPHI, Aix Marseille University	MEPHI, Aix Marseille University	Anthony LEVASSEUR et al
hCoV-19/NewZealand/20VR0514/2020	EPI_ISL_456161	MZ331882.1	Wellington SCL	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
hCoV-19/CostaRica/CRV-0017/2020	EPI_ISL_480321		Laboratorio Clínico San José	Charité Virology-University of Costa Rica	Andres Moreira-Soto et al
hCoV-19/Uruguay/UY-16/2020	EPI_ISL_480331		Microbial Genomics Laboratory, Institut Pasteur de Montevideo	Microbial Genomics Laboratory, Institut Pasteur de Montevideo	Cecilia Salazar et al
hCoV-19/Brazil/SP-825/2020	EPI_ISL_776760		Instituto Adolfo Lutz - Central	Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory	Claudio Tavares Sacchi et al A
hCoV-19/Djibouti/CNSS00187-IHU1031243455/2020	EPI_ISL_2820520		Laboratoire de Diagnostic, Centre de Soins 1, Caisse Nationale de Sécurité Sociale (CNSS) de Djibouti,	IHU Méditerranée Infection.	Ikram Omar Osman et al
hCoV-19/NewZealand/20VR1769/2020	EPI_ISL_456241	MZ331970.1	Waikato Hospital	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
hCoV-19/Netherlands/NA_594/2020	EPI_ISL_460757		Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
hCoV-19/NewZealand/20VR3128/2020	EPI_ISL_579426	MZ332419.1	Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/NewZealand/20VR3476/2020	EPI_ISL_579496	MZ332489.1	Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/USA/TN-VUMC-000089/2020	EPI_ISL_3725979		VUMC Molecular Infectious Diseases Laboratory (MIDL)	Dr. Suman Das Lab - Vanderbilt University Medical Center (VUMC) (https://my.vanderbilt.edu/daslab/)	Grant Vestal et al
hCoV-19/Mexico/OAX-IBT-IMSS-455/2020	EPI_ISL_1301638		Laboratorio Central de Epidemiología IMSS	Instituto de Biotecnología de la UNAM	Authors from IBT et al
hCoV-19/NorthMacedonia/34253/2021	EPI_ISL_1141320		General Hospital - Tetovo	Research Center for Genetic Engineering and Biotechnology "Georgi D. Efremov” , Macedonian Academy of Sciences and Arts	Aleksandar J. Dimovski et al
hCoV-19/USA/WY-UNM-WY00104/2020	EPI_ISL_582221		Wyoming Public Health Laboratory	Center for Global Health, University of New Mexico Health Sciences Center	Daryl Domman et al
hCoV-19/Guatemala/GUA-LNS-47758/2020	EPI_ISL_2827830		Laboratorio Nacional de Salud	Laboratorio Nacional de Salud	Linda Mendoza et al
hCoV-19/Ecuador/USFQ-039/2020	EPI_ISL_481245		Hospital IESS Babahoyo	Institute of Microbiology, Universidad San Francisco de Quito	Belén Prado-Vivar et al
hCoV-19/Turkey/HSGM-D1/2021	EPI_ISL_1097053		Ministry of Health Turkey	Ministry of Health Turkey	Fatma Bayrakdar et al A
hCoV-19/Guatemala/GUA-LNS-47332/2020	EPI_ISL_2826970		Laboratorio Nacional de Salud	Laboratorio Nacional de Salud	Linda Mendoza et al
hCoV-19/Australia/NSW107/2020	EPI_ISL_427772		Centre for Infectious Diseases and Microbiology Public Health	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Gall M et al (https://www.nature.com/articles/s41591-020-1000-7)
hCoV-19/Colombia/QUI-INS-85082/2020	EPI_ISL_497744		Instituto Nacional de Salud, Bogotá, Colombia	Instituto Nacional de Salud, Bogotá, Colombia	Katherine Laiton-Donato et al
hCoV-19/Russia/StPetersburg-RII11299S/2020	EPI_ISL_507253		WHO National Influenza Centre Russian Federation	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al
hCoV-19/India/GJ-GBRC74/2020	EPI_ISL_447052		GMERS Medical College and Hospital, Gandhinagar	Gujarat Biotechnology Research Centre	Bhavesh Modi et al (https://www.biorxiv.org/content/10.1101/2020.05.28.122143v1)
hCoV-19/Wales/PHWC-160F3D/2020	EPI_ISL_473068		Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit	COVID-19 Genomics UK (COG-UK) Consortium	Catherine Moore et al
hCoV-19/Australia/SA0212/2020	EPI_ISL_467989		SA Pathology	SA Pathology	Lex Leong et al
hCoV-19/Malawi/MLW-00023/2020	EPI_ISL_3770646		Malawi Liverpool Wellcome Trust Clinical Research Program	Malawi Liverpool Wellcome Trust CLinical Research Program	Catherine Anscombe et al
hCoV-19/USA/ME-HETL-J0276/2020	EPI_ISL_755422		Maine Health and Environmental Testing Laboratory	Tewhey Lab, The Jackson Laboratory	Matluk et al
hCoV-19/USA/CT-CDC-LC0006960/2021	EPI_ISL_1020878	MW636747.1	Laboratory Corporation of America	Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Peter W. Cook et al
